# t	k	i(0)	i(1)	i(2)	o(0)	o(1)	o(2)	i	o
30.0031	5	10	4	5	8	15	9	19	32
30.0031	6	2	3	1	4	4	3	6	11
30.0031	7	0	0	0	1	2	1	0	4
30.0031	8	0	0	0	0	0	1	0	1


60.0056	0	24	12	18	40	35	69	54	144
60.0056	1	94	89	122	95	70	96	305	261
60.0056	2	100	111	149	72	99	105	360	276
60.0056	3	66	60	74	54	51	69	200	174
60.0056	4	13	21	25	25	31	42	59	98
60.0056	5	7	6	8	14	9	10	21	33
60.0056	6	0	0	1	2	1	6	1	9
60.0056	7	0	0	0	2	2	0	0	4
60.0056	8	0	0	0	0	1	0	0	1


90.0075	0	18	19	14	67	51	26	51	144
90.0075	1	117	130	85	93	89	85	332	267
90.0075	2	130	130	76	114	94	64	336	272
90.0075	3	82	58	50	70	66	36	190	172
90.0075	4	41	13	15	35	41	22	69	98
90.0075	5	10	8	2	15	11	7	20	33
90.0075	6	1	1	0	3	6	0	2	9
90.0075	7	0	0	0	1	1	2	0	4
90.0075	8	0	0	0	1	0	0	0	1


120	0	12	21	20	47	48	50	53	145
120	1	106	106	108	78	100	91	320	269
120	2	104	125	139	81	90	98	368	269
120	3	52	61	59	52	66	57	172	175
120	4	19	25	18	34	28	34	62	96
120	5	9	11	4	6	10	16	24	32
120	6	0	0	0	2	6	1	0	9
120	7	0	1	0	2	1	1	1	4
120	8	0	0	0	0	1	0	0	1


150.005	0	26	13	25	48	43	55	64	146
150.005	1	113	100	125	82	70	118	338	270
150.005	2	97	111	116	89	91	95	324	275
150.005	3	68	45	75	61	50	59	188	170
150.005	4	18	15	27	37	20	36	60	93
150.005	5	4	3	11	9	13	11	18	33
150.005	6	2	1	4	2	1	5	7	8
150.005	7	1	0	0	1	0	3	1	4
150.005	8	0	0	0	0	0	1	0	1


180.007	0	24	16	23	62	52	32	63	146
180.007	1	101	131	102	82	114	74	334	270
180.007	2	126	130	84	83	113	80	340	276
180.007	3	62	71	41	73	53	45	174	171
180.007	4	25	28	12	36	34	21	65	91
180.007	5	9	6	4	11	13	9	19	33
180.007	6	3	0	1	2	2	4	4	8
180.007	7	1	0	0	1	1	2	1	4
180.007	8	0	0	0	1	0	0	0	1


210.004	0	16	20	26	39	45	62	62	146
210.004	1	117	98	127	87	92	92	342	271
210.004	2	113	98	129	89	87	101	340	277
210.004	3	41	66	58	53	52	66	165	171
210.004	4	21	23	22	30	25	37	66	92
210.004	5	4	7	10	10	10	10	21	30
210.004	6	0	2	1	3	4	2	3	9
210.004	7	0	1	0	1	0	2	1	3
210.004	8	0	0	0	0	0	1	0	1


240.007	0	24	15	11	63	37	47	50	147
240.007	1	144	121	85	113	84	74	350	271
240.007	2	147	94	102	131	85	63	343	279
240.007	3	87	48	54	74	48	49	189	171
240.007	4	26	12	13	39	27	24	51	90
240.007	5	6	1	6	12	7	10	13	29
240.007	6	4	0	0	4	3	2	4	9
240.007	7	0	0	0	1	0	2	0	3
240.007	8	0	0	0	1	0	0	0	1


270.003	0	21	27	16	51	56	40	64	147
270.003	1	105	148	106	104	105	65	359	274
270.003	2	105	120	79	91	106	80	304	277
270.003	3	79	59	51	56	66	49	189	171
270.003	4	31	25	13	31	36	22	69	89
270.003	5	9	2	2	12	9	8	13	29
270.003	6	1	0	0	4	2	3	1	9
270.003	7	1	0	0	2	1	0	1	3
270.003	8	0	0	0	1	0	0	0	1


300.013	0	24	18	26	50	46	51	68	147
300.013	1	123	104	120	83	72	120	347	275
300.013	2	108	80	145	89	77	117	333	283
300.013	3	44	48	79	52	49	65	171	166
300.013	4	10	22	29	27	24	36	61	87
300.013	5	4	3	7	8	7	14	14	29
300.013	6	0	2	4	4	0	5	6	9
300.013	7	0	0	0	0	1	2	0	3
300.013	8	0	0	0	0	1	0	0	1


330.001	0	25	11	14	66	35	48	50	149
330.001	1	170	112	101	128	78	67	383	273
330.001	2	144	83	95	132	69	82	322	283
330.001	3	79	31	57	75	41	53	167	169
330.001	4	28	15	13	37	23	24	56	84
330.001	5	8	2	7	16	6	7	17	29
330.001	6	3	0	1	3	1	5	4	9
330.001	7	1	0	0	1	1	1	1	3
330.001	8	0	0	0	0	0	1	0	1


360.017	0	22	23	16	43	74	32	61	149
360.017	1	88	171	90	88	119	69	349	276
360.017	2	103	155	94	77	125	80	352	282
360.017	3	60	77	32	46	87	36	169	169
360.017	4	18	24	11	28	32	22	53	82
360.017	5	2	7	4	8	18	5	13	31
360.017	6	2	1	0	3	2	3	3	8
360.017	7	0	0	0	1	1	0	0	2
360.017	8	0	0	0	1	0	0	0	1


390	0	25	18	25	38	35	76	68	149
390	1	100	96	165	63	86	127	361	276
390	2	72	89	169	80	81	121	330	282
390	3	46	54	66	48	46	80	166	174
390	4	13	22	23	22	21	36	58	79
390	5	1	2	9	6	10	13	12	29
390	6	1	1	2	2	2	4	4	8
390	7	1	0	0	0	1	1	1	2
390	8	0	0	0	0	0	1	0	1


420	0	29	24	16	68	44	37	69	149
420	1	147	109	89	122	84	72	345	278
420	2	162	102	75	133	79	72	339	284
420	3	91	48	54	84	48	38	193	170
420	4	24	7	12	38	18	24	43	80
420	5	5	1	2	12	11	5	8	28
420	6	1	0	2	1	7	1	3	9
420	7	0	0	0	1	0	0	0	1
420	8	0	0	0	0	0	1	0	1


450.005	0	20	25	21	43	63	44	66	150
450.005	1	92	165	122	80	130	68	379	278
450.005	2	83	151	81	83	126	78	315	287
450.005	3	63	65	39	46	66	55	167	167
450.005	4	19	28	9	22	38	19	56	79
450.005	5	7	4	3	8	9	11	14	28
450.005	6	1	1	1	3	5	1	3	9
450.005	7	0	0	0	0	2	0	0	2


480.001	0	14	20	24	49	42	59	58	150
480.001	1	116	117	153	87	90	104	386	281
480.001	2	97	113	115	87	97	102	325	286
480.001	3	51	50	61	42	57	68	162	167
480.001	4	17	17	25	20	19	38	59	77
480.001	5	2	3	3	8	13	7	8	28
480.001	6	0	0	1	3	3	3	1	9
480.001	7	0	0	0	1	0	1	0	2
480.001	8	0	1	0	0	0	0	1	0


510.009	0	28	18	19	63	38	49	65	150
510.009	1	158	104	112	107	80	98	374	285
510.009	2	122	91	115	106	78	100	328	284
510.009	3	58	46	77	66	44	58	181	168
510.009	4	16	9	13	25	24	27	38	76
510.009	5	7	2	3	17	4	6	12	27
510.009	6	0	0	1	5	1	2	1	8
510.009	7	0	0	1	0	1	1	1	2


540.013	0	16	21	22	49	64	37	59	150
540.013	1	130	162	101	95	105	88	393	288
540.013	2	125	118	97	116	96	71	340	283
540.013	3	53	41	42	61	56	51	136	168
540.013	4	29	23	9	31	29	15	61	75
540.013	5	5	1	0	5	12	9	6	26
540.013	6	1	0	1	2	3	3	2	8
540.013	7	1	0	2	1	1	0	3	2


570.009	0	14	22	33	28	68	54	69	150
570.009	1	85	137	173	49	106	137	395	292
570.009	2	63	137	117	64	118	101	317	283
570.009	3	20	73	52	30	69	66	145	165
570.009	4	10	32	20	18	32	26	62	76
570.009	5	3	6	1	6	12	6	10	24
570.009	6	1	0	0	1	1	6	1	8
570.009	7	0	0	0	0	1	1	0	2
570.009	8	0	0	1	0	0	0	1	0


600.02	0	21	14	23	61	36	53	58	150
600.02	1	190	92	129	121	59	113	411	293
600.02	2	140	55	122	125	54	105	317	284
600.02	3	65	31	61	77	29	58	157	164
600.02	4	16	5	19	40	9	27	40	76
600.02	5	2	0	11	7	8	9	13	24
600.02	6	1	0	2	4	2	3	3	9
600.02	7	0	0	1	0	0	0	1	0


630.025	0	26	30	12	63	55	32	68	150
630.025	1	159	154	77	132	87	74	390	293
630.025	2	167	104	62	146	102	36	333	284
630.025	3	87	33	26	74	58	34	146	166
630.025	4	32	7	9	48	18	8	48	74
630.025	5	8	2	3	13	9	2	13	24
630.025	6	2	0	0	5	1	3	2	9


660.004	0	9	32	12	36	77	38	53	151
660.004	1	82	206	127	54	164	74	415	292
660.004	2	58	211	61	46	177	62	330	285
660.004	3	28	94	22	34	99	34	144	167
660.004	4	11	29	4	14	46	12	44	72
660.004	5	2	10	0	5	15	5	12	25
660.004	6	0	0	1	2	4	2	1	8
660.004	7	1	0	0	0	0	0	1	0


690.003	0	18	12	37	31	41	79	67	151
690.003	1	95	95	208	65	81	147	398	293
690.003	2	58	101	169	53	75	158	328	286
690.003	3	25	51	78	35	49	83	154	167
690.003	4	4	16	22	11	24	36	42	71
690.003	5	0	3	4	5	7	14	7	26
690.003	6	1	1	2	1	2	3	4	6


720.006	0	28	12	29	60	34	57	69	151
720.006	1	181	103	121	132	56	106	405	294
720.006	2	136	63	106	120	66	100	305	286
720.006	3	72	30	71	69	35	62	173	166
720.006	4	6	5	25	29	14	28	36	71
720.006	5	5	1	4	14	8	4	10	26
720.006	6	0	0	2	4	1	1	2	6


750.001	0	29	29	12	63	56	32	70	151
750.001	1	134	153	105	147	81	67	392	295
750.001	2	170	102	58	117	108	61	330	286
750.001	3	79	47	30	81	56	30	156	167
750.001	4	30	4	10	27	22	20	44	69
750.001	5	6	1	1	10	11	5	8	26
750.001	6	0	0	0	3	2	1	0	6


780.008	0	13	28	25	25	72	54	66	151
780.008	1	73	156	188	53	137	106	417	296
780.008	2	52	158	102	67	122	100	312	289
780.008	3	30	89	31	29	74	64	150	167
780.008	4	13	22	9	9	34	25	44	68
780.008	5	3	3	4	1	13	9	10	23
780.008	6	0	0	1	0	4	2	1	6


810.004	0	15	14	31	38	28	85	60	151
810.004	1	161	93	180	94	61	142	434	297
810.004	2	82	51	167	91	59	140	300	290
810.004	3	26	31	94	49	29	88	151	166
810.004	4	7	9	31	12	18	38	47	68
810.004	5	1	3	3	7	6	9	7	22
810.004	6	1	0	0	2	0	4	1	6


840.001	0	22	25	12	66	42	43	59	151
840.001	1	165	150	107	127	108	65	422	300
840.001	2	149	115	81	130	95	63	345	288
840.001	3	64	28	28	79	45	42	120	166
840.001	4	26	7	7	26	23	19	40	68
840.001	5	5	0	4	3	12	6	9	21
840.001	6	3	1	1	3	1	2	5	6


870.015	0	22	18	23	48	53	50	63	151
870.015	1	127	147	142	94	110	98	416	302
870.015	2	120	111	106	107	94	88	337	289
870.015	3	53	53	34	59	55	50	140	164
870.015	4	14	9	10	20	25	22	33	67
870.015	5	4	6	0	11	5	5	10	21
870.015	6	0	0	0	2	2	2	0	6
870.015	7	1	0	0	0	0	0	1	0


900.066	0	19	22	21	57	42	53	62	152
900.066	1	157	126	148	108	86	108	431	302
900.066	2	103	107	116	96	97	95	326	288
900.066	3	43	47	42	52	54	61	132	167
900.066	4	16	8	15	20	23	21	39	64
900.066	5	3	1	2	5	10	6	6	21
900.066	6	0	1	1	3	2	1	2	6
900.066	7	0	1	0	0	0	0	1	0
900.066	8	0	1	0	0	0	0	1	0


930.017	0	17	15	21	59	35	59	53	153
930.017	1	157	141	141	100	102	99	439	301
930.017	2	123	93	118	94	100	94	334	288
930.017	3	39	45	47	63	48	60	131	171
930.017	4	11	11	13	24	15	21	35	60
930.017	5	1	2	3	8	6	7	6	21
930.017	6	2	0	0	2	1	3	2	6


960.006	0	20	34	24	46	67	40	78	153
960.006	1	115	161	127	97	111	94	403	302
960.006	2	108	126	101	82	115	92	335	289
960.006	3	47	48	46	53	62	54	141	169
960.006	4	14	16	7	19	21	21	37	61
960.006	5	3	1	1	9	7	4	5	20
960.006	6	0	0	0	2	3	1	0	6
960.006	7	0	0	0	0	0	0	0	0
960.006	8	1	0	0	0	0	0	1	0


990.007	0	23	23	36	39	45	70	82	154
990.007	1	114	133	165	88	119	94	412	301
990.007	2	87	116	118	85	102	103	321	290
990.007	3	42	62	33	39	56	75	137	170
990.007	4	2	21	15	12	29	19	38	60
990.007	5	0	4	3	5	7	7	7	19
990.007	6	0	1	1	0	3	3	2	6
990.007	7	0	1	0	0	0	0	1	0


1020	0	22	20	31	59	40	56	73	155
1020	1	165	124	129	114	92	96	418	302
1020	2	133	92	123	108	72	109	348	289
1020	3	40	31	37	71	44	55	108	170
1020	4	14	6	23	20	16	23	43	59
1020	5	4	1	3	5	8	6	8	19
1020	6	1	0	0	2	3	1	1	6
1020	7	0	1	0	0	0	0	1	0


1050.04	0	23	22	32	53	64	38	77	155
1050.04	1	159	160	114	104	106	95	433	305
1050.04	2	98	119	91	101	103	84	308	288
1050.04	3	53	41	36	66	56	47	130	169
1050.04	4	17	16	11	22	21	15	44	58
1050.04	5	2	2	4	3	9	7	8	19
1050.04	6	0	0	0	3	1	2	0	6


1080.02	0	25	27	22	49	54	52	74	155
1080.02	1	158	136	132	110	106	91	426	307
1080.02	2	111	106	107	112	82	92	324	286
1080.02	3	43	45	46	59	51	60	134	170
1080.02	4	17	11	10	19	21	17	38	57
1080.02	5	0	0	3	5	8	6	3	19
1080.02	6	1	0	0	1	3	2	1	6


1110	0	30	32	27	48	54	53	89	155
1110	1	127	156	124	92	114	103	407	309
1110	2	103	123	107	91	107	87	333	285
1110	3	42	43	42	59	60	50	127	169
1110	4	14	10	9	23	23	12	33	58
1110	5	5	2	4	7	6	7	11	20
1110	6	0	0	0	1	2	1	0	4


1140.01	0	24	22	33	29	54	72	79	155
1140.01	1	97	111	221	60	94	156	429	310
1140.01	2	51	109	161	60	95	130	321	285
1140.01	3	19	48	62	35	47	87	129	169
1140.01	4	3	16	16	10	12	35	35	57
1140.01	5	1	5	1	1	7	12	7	20
1140.01	6	0	0	0	0	2	2	0	4


1170	0	36	16	38	58	32	65	90	155
1170	1	180	92	154	110	56	145	426	311
1170	2	112	61	141	98	60	129	314	287
1170	3	33	24	69	69	36	62	126	167
1170	4	7	2	21	23	9	25	30	57
1170	5	2	0	11	10	2	8	13	20
1170	6	0	0	1	2	0	1	1	3


1200.01	0	39	23	13	77	49	29	75	155
1200.01	1	174	163	99	141	107	63	436	311
1200.01	2	157	100	72	129	86	72	329	287
1200.01	3	76	20	28	83	43	43	124	169
1200.01	4	19	7	3	27	19	9	29	55
1200.01	5	4	0	2	10	9	1	6	20
1200.01	6	1	0	0	3	0	0	1	3


1230.01	0	23	36	18	46	71	38	77	155
1230.01	1	108	202	138	80	154	79	448	313
1230.01	2	78	135	101	69	121	97	314	287
1230.01	3	40	56	21	49	71	48	117	168
1230.01	4	13	19	7	15	23	18	39	56
1230.01	5	2	1	1	3	9	6	4	18
1230.01	6	0	1	0	2	1	0	1	3


1260.03	0	14	27	31	47	53	55	72	155
1260.03	1	148	151	148	93	105	118	447	316
1260.03	2	115	104	101	97	106	82	320	285
1260.03	3	33	59	40	51	61	55	132	167
1260.03	4	4	14	7	22	23	12	25	57
1260.03	5	1	1	1	4	8	5	3	17
1260.03	6	0	1	0	1	1	1	1	3


1290.01	0	27	26	28	39	44	72	81	155
1290.01	1	137	105	188	94	80	144	430	318
1290.01	2	102	91	147	86	76	125	340	287
1290.01	3	26	34	53	61	38	65	113	164
1290.01	4	5	6	22	12	18	26	33	56
1290.01	5	2	0	1	7	4	6	3	17
1290.01	6	0	0	0	0	2	1	0	3


1320.01	0	33	25	28	60	40	55	86	155
1320.01	1	178	153	121	146	99	74	452	319
1320.01	2	127	84	88	102	103	84	299	289
1320.01	3	43	43	36	52	60	50	122	162
1320.01	4	11	11	9	25	12	18	31	55
1320.01	5	4	1	5	10	2	5	10	17
1320.01	6	0	0	0	1	1	1	0	3


1350.01	0	23	18	37	52	59	45	78	156
1350.01	1	146	155	146	105	101	113	447	319
1350.01	2	111	103	119	93	89	107	333	289
1350.01	3	42	29	36	56	40	66	107	162
1350.01	4	6	10	12	18	19	17	28	54
1350.01	5	3	2	1	6	7	4	6	17
1350.01	6	0	0	0	1	2	0	0	3
1350.01	7	0	0	1	0	0	0	1	0


1380	0	31	24	27	51	52	53	82	156
1380	1	158	124	154	109	81	132	436	322
1380	2	136	87	125	107	73	110	348	290
1380	3	22	26	52	59	42	59	100	160
1380	4	4	10	14	18	17	17	28	52
1380	5	1	2	3	8	7	2	6	17
1380	6	0	0	0	0	1	2	0	3


1410	0	25	27	15	63	43	50	67	156
1410	1	171	186	118	122	120	81	475	323
1410	2	124	98	92	105	109	75	314	289
1410	3	52	27	33	68	50	42	112	160
1410	4	10	7	12	16	15	21	29	52
1410	5	2	0	0	8	8	1	2	17
1410	6	0	1	0	2	1	0	1	3


1440.02	0	14	44	30	48	58	51	88	157
1440.02	1	122	197	140	74	143	107	459	324
1440.02	2	97	121	89	91	129	71	307	291
1440.02	3	27	54	20	41	71	45	101	157
1440.02	4	12	21	6	16	28	7	39	51
1440.02	5	2	3	1	4	9	4	6	17
1440.02	6	0	0	0	0	2	1	0	3


1470	0	18	26	32	40	49	68	76	157
1470	1	110	131	228	56	115	155	469	326
1470	2	58	109	148	74	91	125	315	290
1470	3	18	58	34	34	54	68	110	156
1470	4	4	13	7	4	22	25	24	51
1470	5	1	3	1	1	9	8	5	18
1470	6	0	1	0	0	1	1	1	2


1500.02	0	27	15	31	57	25	75	73	157
1500.02	1	173	114	197	91	89	146	484	326
1500.02	2	76	67	159	92	70	131	302	293
1500.02	3	18	27	60	41	37	77	105	155
1500.02	4	7	9	17	14	9	26	33	49
1500.02	5	0	1	2	5	3	10	3	18
1500.02	6	0	0	0	1	0	1	0	2


1530	0	39	27	27	71	39	47	93	157
1530	1	189	145	106	125	107	95	440	327
1530	2	122	92	117	110	91	92	331	293
1530	3	44	27	37	65	37	53	108	155
1530	4	6	1	15	23	12	13	22	48
1530	5	1	1	3	7	6	5	5	18
1530	6	1	0	0	1	1	0	1	2


1560	0	26	28	31	40	60	58	85	158
1560	1	143	171	150	105	114	108	464	327
1560	2	88	106	119	79	110	105	313	294
1560	3	24	44	41	42	53	58	109	153
1560	4	6	10	6	19	14	15	22	48
1560	5	0	3	4	2	9	7	7	18
1560	6	0	0	0	0	2	0	0	2


1590.02	0	31	24	31	51	40	68	86	159
1590.02	1	141	132	190	97	101	129	463	327
1590.02	2	107	89	123	91	87	117	319	295
1590.02	3	23	31	50	50	44	60	104	154
1590.02	4	3	10	10	13	11	22	23	46
1590.02	5	1	1	2	4	5	8	4	17
1590.02	6	0	1	0	0	0	2	1	2


1620.04	0	38	28	34	67	44	48	100	159
1620.04	1	179	140	138	130	90	107	457	327
1620.04	2	108	86	103	100	93	103	297	296
1620.04	3	36	42	41	49	61	45	119	155
1620.04	4	7	9	4	20	13	12	20	45
1620.04	5	1	1	3	3	6	7	5	16
1620.04	6	1	1	0	1	0	1	2	2


1650	0	37	30	30	50	47	62	97	159
1650	1	159	134	162	132	93	103	455	328
1650	2	127	94	95	115	91	91	316	297
1650	3	32	36	30	47	53	53	98	153
1650	4	13	9	10	17	13	16	32	46
1650	5	1	0	1	8	5	2	2	15
1650	6	0	0	0	0	1	1	0	2


1680.01	0	37	28	29	66	53	40	94	159
1680.01	1	156	177	139	118	117	97	472	332
1680.01	2	108	94	87	99	100	95	289	294
1680.01	3	43	39	39	46	50	56	121	152
1680.01	4	6	7	8	18	19	10	21	47
1680.01	5	1	1	1	3	7	4	3	14
1680.01	6	0	0	0	1	0	1	0	2


1710.01	0	25	28	29	52	56	52	82	160
1710.01	1	162	152	171	111	111	113	485	335
1710.01	2	109	100	101	108	82	103	310	293
1710.01	3	40	26	34	51	46	52	100	149
1710.01	4	9	6	5	19	12	16	20	47
1710.01	5	1	0	2	5	5	5	3	15
1710.01	6	0	0	0	0	0	1	0	1


1740.02	0	31	17	17	51	61	48	65	160
1740.02	1	166	177	185	106	104	127	528	337
1740.02	2	91	99	98	97	92	103	288	292
1740.02	3	28	26	37	49	54	45	91	148
1740.02	4	4	11	8	13	20	15	23	48
1740.02	5	2	3	0	6	2	6	5	14
1740.02	6	0	0	0	0	0	1	0	1


1770.02	0	22	29	27	63	37	60	78	160
1770.02	1	195	118	175	122	90	126	488	338
1770.02	2	123	68	130	107	67	117	321	291
1770.02	3	29	17	49	55	29	65	95	149
1770.02	4	6	4	7	23	10	14	17	47
1770.02	5	1	0	0	6	2	6	1	14
1770.02	6	0	0	0	0	1	0	0	1


1800.02	0	28	29	19	55	66	40	76	161
1800.02	1	191	165	163	138	99	100	519	337
1800.02	2	113	80	85	109	83	104	278	296
1800.02	3	40	32	31	58	44	42	103	144
1800.02	4	10	5	7	17	14	16	22	47
1800.02	5	1	0	1	5	5	4	2	14
1800.02	6	0	0	0	1	0	0	0	1


1830.02	0	26	40	23	52	53	56	89	161
1830.02	1	160	174	154	116	137	85	488	338
1830.02	2	98	119	91	87	108	101	308	296
1830.02	3	34	34	24	46	62	36	92	144
1830.02	4	6	8	3	16	13	17	17	46
1830.02	5	0	4	2	6	6	2	6	14
1830.02	6	0	0	0	1	0	0	0	1


1860	0	24	36	29	50	70	42	89	162
1860	1	153	168	171	97	137	105	492	339
1860	2	79	126	104	82	102	111	309	295
1860	3	21	39	25	34	48	61	85	143
1860	4	5	6	9	17	13	17	20	47
1860	5	2	2	1	4	6	3	5	13
1860	6	0	0	0	0	1	0	0	1


1890.02	0	21	25	28	56	49	57	74	162
1890.02	1	167	167	187	101	114	125	521	340
1890.02	2	85	103	104	89	96	111	292	296
1890.02	3	31	30	34	40	52	49	95	141
1890.02	4	1	7	8	15	18	16	16	49
1890.02	5	0	0	1	4	3	4	1	11
1890.02	6	0	0	1	0	0	1	1	1


1920.01	0	30	24	29	58	60	44	83	162
1920.01	1	214	149	159	136	95	109	522	340
1920.01	2	98	94	85	109	85	105	277	299
1920.01	3	26	28	38	50	46	42	92	138
1920.01	4	2	11	8	13	19	17	21	49
1920.01	5	2	2	1	5	3	3	5	11
1920.01	6	0	0	0	1	0	0	0	1


1950.02	0	28	21	23	61	43	58	72	162
1950.02	1	218	155	166	128	105	109	539	342
1950.02	2	109	62	109	124	67	108	280	299
1950.02	3	30	24	32	61	37	39	86	137
1950.02	4	6	4	8	17	11	21	18	49
1950.02	5	3	1	1	2	4	4	5	10
1950.02	6	0	0	0	1	0	0	0	1


1980	0	33	35	18	60	59	43	86	162
1980	1	199	180	140	140	108	98	519	346
1980	2	126	72	85	134	87	76	283	297
1980	3	44	17	27	58	42	35	88	135
1980	4	8	8	6	17	11	21	22	49
1980	5	1	0	0	2	5	3	1	10
1980	6	1	0	0	1	0	0	1	1


2010	0	24	49	18	50	84	28	91	162
2010	1	151	241	108	110	155	81	500	346
2010	2	104	133	64	98	129	70	301	297
2010	3	32	43	14	41	74	20	89	135
2010	4	7	6	3	15	27	7	16	49
2010	5	1	2	0	5	4	1	3	10
2010	6	0	0	0	0	1	0	0	1


2040.01	0	22	42	36	31	68	63	100	162
2040.01	1	117	171	209	72	139	135	497	346
2040.01	2	55	134	97	64	123	111	286	298
2040.01	3	11	54	29	26	62	47	94	135
2040.01	4	2	13	6	11	17	20	21	48
2040.01	5	0	1	1	3	5	2	2	10
2040.01	6	0	0	0	0	1	0	0	1


2070.02	0	26	29	40	56	43	63	95	162
2070.02	1	171	138	200	104	96	146	509	346
2070.02	2	82	73	131	80	88	131	286	299
2070.02	3	19	26	39	41	35	59	84	135
2070.02	4	0	11	13	12	17	19	24	48
2070.02	5	0	2	0	5	0	4	2	9
2070.02	6	0	0	0	0	0	1	0	1


2100.02	0	33	38	19	64	54	45	90	163
2100.02	1	228	155	136	149	104	94	519	347
2100.02	2	132	76	79	134	84	80	287	298
2100.02	3	30	26	24	61	39	36	80	136
2100.02	4	10	5	7	22	14	10	22	46
2100.02	5	1	0	0	4	5	0	1	9
2100.02	6	0	0	1	0	0	1	1	1


2130.04	0	19	41	26	49	80	34	86	163
2130.04	1	142	267	117	110	162	77	526	349
2130.04	2	111	122	53	97	135	64	286	296
2130.04	3	33	36	12	42	65	29	81	136
2130.04	4	7	11	0	13	30	3	18	46
2130.04	5	2	0	0	4	4	1	2	9
2130.04	6	1	0	0	0	1	0	1	1


2160	0	17	34	32	33	67	63	83	163
2160	1	117	222	197	76	152	121	536	349
2160	2	59	128	92	69	140	91	279	300
2160	3	19	41	23	24	55	53	83	132
2160	4	0	11	3	7	21	18	14	46
2160	5	0	5	0	3	5	1	5	9
2160	6	0	0	0	0	1	0	0	1


2190.01	0	25	36	44	33	49	82	105	164
2190.01	1	150	124	217	96	89	163	491	348
2190.01	2	79	87	138	95	88	118	304	301
2190.01	3	14	28	40	32	37	62	82	131
2190.01	4	2	5	8	13	13	20	15	46
2190.01	5	0	2	1	1	5	3	3	9
2190.01	6	0	0	0	0	1	0	0	1


2220.02	0	29	26	38	62	36	66	93	164
2220.02	1	202	153	159	136	101	112	514	349
2220.02	2	112	85	100	104	99	97	297	300
2220.02	3	25	27	27	50	41	40	79	131
2220.02	4	3	5	4	16	17	13	12	46
2220.02	5	0	0	4	3	2	4	4	9
2220.02	6	1	0	0	1	0	0	1	1


2250	0	30	36	26	60	62	42	92	164
2250	1	193	208	115	130	140	79	516	349
2250	2	124	110	65	125	105	70	299	300
2250	3	41	14	18	58	49	25	73	132
2250	4	7	5	6	20	12	13	18	45
2250	5	1	0	0	4	4	1	1	9
2250	6	1	0	0	0	1	0	1	1


2280.01	0	29	39	23	49	64	51	91	164
2280.01	1	115	241	165	83	164	104	521	351
2280.01	2	77	134	81	82	139	77	292	298
2280.01	3	25	34	18	26	65	41	77	132
2280.01	4	5	10	2	10	24	11	17	45
2280.01	5	1	1	0	2	3	4	2	9
2280.01	6	0	0	0	0	0	1	0	1


2310.01	0	28	38	39	48	54	62	105	164
2310.01	1	142	171	192	92	123	136	505	351
2310.01	2	68	101	118	69	108	122	287	299
2310.01	3	14	34	34	39	42	50	82	131
2310.01	4	4	10	5	6	22	17	19	45
2310.01	5	0	1	0	2	6	1	1	9
2310.01	6	1	0	0	1	0	0	1	1


2340	0	34	25	36	45	58	61	95	164
2340	1	155	185	186	116	109	127	526	352
2340	2	97	88	91	102	105	93	276	300
2340	3	21	34	29	34	50	45	84	129
2340	4	4	6	6	10	16	19	16	45
2340	5	1	2	0	5	1	3	3	9
2340	6	0	0	0	0	1	0	0	1


2370.01	0	38	31	34	51	50	63	103	164
2370.01	1	158	159	194	107	109	136	511	352
2370.01	2	79	79	129	86	78	136	287	300
2370.01	3	18	21	35	36	48	46	74	130
2370.01	4	5	10	9	17	11	16	24	44
2370.01	5	1	0	0	2	4	3	1	9
2370.01	6	0	0	0	0	0	1	0	1


2400.01	0	45	22	26	70	38	57	93	165
2400.01	1	249	118	160	156	78	118	527	352
2400.01	2	116	73	97	136	71	94	286	301
2400.01	3	31	14	29	57	33	38	74	128
2400.01	4	5	4	10	20	10	14	19	44
2400.01	5	0	0	0	6	1	2	0	9
2400.01	6	0	0	1	1	0	0	1	1


2430.01	0	46	31	26	68	54	43	103	165
2430.01	1	190	179	151	141	115	98	520	354
2430.01	2	108	87	83	120	95	85	278	300
2430.01	3	38	20	17	49	34	44	75	127
2430.01	4	12	2	8	15	17	12	22	44
2430.01	5	1	0	0	2	4	3	1	9
2430.01	6	1	0	0	1	0	0	1	1


2460.01	0	36	26	29	55	53	57	91	165
2460.01	1	168	173	192	105	119	131	533	355
2460.01	2	109	86	89	118	85	96	284	299
2460.01	3	27	21	27	48	32	47	75	127
2460.01	4	6	3	4	20	15	9	13	44
2460.01	5	2	0	2	1	5	3	4	9
2460.01	6	0	0	0	1	0	0	0	1


2490.01	0	29	32	28	45	57	63	89	165
2490.01	1	160	191	186	107	127	121	537	355
2490.01	2	101	99	84	101	111	88	284	300
2490.01	3	24	31	19	44	46	37	74	127
2490.01	4	5	7	3	18	16	9	15	43
2490.01	5	0	1	0	4	3	2	1	9
2490.01	6	0	0	0	0	1	0	0	1


2520.02	0	29	25	39	50	45	71	93	166
