# t	k	i(0)	i(1)	i(2)	o(0)	o(1)	o(2)	i	o
14880.1	1	142	489	240	80	234	112	871	426
14880.1	2	9	25	14	48	148	87	48	283
14880.1	3	2	0	0	10	41	19	2	70
14880.1	4	0	0	0	1	8	5	0	14


14910.6	0	30	24	25	32	110	65	79	207
14910.6	1	112	490	268	75	230	121	870	426
14910.6	2	11	24	15	40	148	95	50	283
14910.6	3	1	0	0	7	41	22	1	70
14910.6	4	0	0	0	0	9	5	0	14


14940.4	0	30	23	25	32	100	75	78	207
14940.4	1	114	453	305	73	209	144	872	426
14940.4	2	8	23	19	39	143	101	50	283
14940.4	3	0	0	0	7	38	25	0	70
14940.4	4	0	0	0	1	9	4	0	14


14971.9	0	29	23	25	34	94	79	77	207
14971.9	1	105	445	324	66	209	151	874	426
14971.9	2	7	25	17	34	144	105	49	283
14971.9	3	0	0	0	6	37	27	0	70
14971.9	4	0	0	0	1	9	4	0	14


15000.2	0	29	23	25	31	93	83	77	207
15000.2	1	95	447	332	61	208	157	874	426
15000.2	2	5	25	19	30	147	106	49	283
15000.2	3	0	0	0	7	37	26	0	70
15000.2	4	0	0	0	0	10	4	0	14


